Código,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
102,17154,16491461,397.1,913865,28600,28.2,97,7.38,41850,0.944,10.1,3.48,92.6,11,21.42,53°32'N,32.8,1641,46.0499,2,0,0,483742.8,16449611,-872015,0
103,34345,4076140,15.2,210886,21600,,82,31.04,270467,0.931,9.2,3.53,86.8,37.6,19.76,29°13'S,37.3,0,67.3452,1,0,0,0,3805673,59581,0
104,2697,5570129,43,12621,2300,46.2,,50.19,130373,0.66,8.6,16.54,59.3,28.3,50.64,15°01'N,25.2,326,37.2892,1,0,0,124601.4,5439756,117752,0
105,738,12525094,9.9,13678,800,34.3,16,77.97,1267000,0.394,7.7,67.72,16.8,0.9,74.23,23°31'N,14.9,78,53.5652,11,1,1,25313.4,11258094,1253322,34.3
106,825,132000000,142.7,432293,900,,31,79.65,923768,0.539,3.8,59.82,52.7,23.7,73.2,13°50'N,17.9,85,45.9004,1,0,0,0,131076232,491475,0
107,22684,4610820,14.2,362522,37800,28.5,65,60.81,385207,0.957,10.4,2.5,83.3,33.4,14.93,80°49'N,39.2,2106,40.5847,1,0,0,646494,4225613,22685,0
108,9189,3102229,14.6,76331,13100,,,0,309500,0.813,3.8,11.74,87,0,31.01,26°30'N,29,0,46.1422,1,0,0,0,2792729,233169,0
109,1399,166000000,206.2,263686,2100,32.6,,41.74,907843,0.557,2.9,52.3,37.4,4.8,61.37,37°08'N,22.5,150,53.8434,0,0,0,45607.4,165092157,644157,0
110,6254,3191319,40.8,52938,6300,50.4,,24.41,75417,0.815,7.3,9.12,68.8,56.8,48.93,09°38'N,28.4,788,53.9201,1,0,0,315201.6,3115902,22479,0
111,876,5670544,12.3,23591,2200,,,49.55,462840,0.555,2.5,33.21,13.5,79.2,60.88,00°52'S,21.7,97,56.9972,0,0,0,0,5207704,439249,0
112,4334,6506464,16,35304,4700,47.9,60,59.23,406752,0.728,6.7,16.91,62.5,40.5,56.03,19°17'S,24.9,531,55.8779,1,0,0,207598.6,6099712,371448,0
113,3678,28302603,22,202014,5100,43.6,53,27.9,1285216,0.777,5,16.69,78.3,56.5,68.85,00°01'S,27.5,415,57.6901,1,1,1,160360.8,27017387,1083202,43.6
114,1581,89468677,298.2,361489,4600,44.6,61,23.22,300000,0.718,4.4,20.02,47.7,24.1,61.25,21°07'N,24.1,183,37.6584,2,1,1,70512.6,89168677,-61489,44.6
115,8885,38536869,123.3,594164,11100,31.2,91,11.26,312696,0.88,6.5,4.26,60.1,31,52.08,54°50'N,39.7,846,41.1268,1,0,0,277212,38224173,-281468,0
116,8439,10605870,114.8,231226,18000,35.2,85,27.61,92226,0.864,9,2.61,66.8,36.2,25.48,42°07'N,43.9,860,38.987,2,0,0,297052.8,10513644,-139000,0
117,45338,885359,77.4,146373,21500,,97,0,11586,0.848,2.6,5.68,99.3,0,50.17,26°09'N,31.3,0,59.2761,0,0,0,0,873773,-134787,0
118,25780,48846823,17800,1630525,7.05,314,100,33.66,100210,0.916,5.23,3.2,81.4,50.1,54.12,37°31'N,34,0,40.9929,11,1,0,8094920,48746613,-1530315,314
119,5206,22303552,93.9,248715,7000,34.4,83,23.05,238397,0.828,5.2,8.7,54.3,30.1,48.79,48°15'N,41.3,496,72.7207,1,0,0,179086.4,22065155,-10318,0
120,5504,143000000,8.4,1483497,8900,36.8,61,3.18,17098246,0.824,5.3,6.46,74.9,49.8,51.81,81°51'N,38.7,606,69.7372,15,2,1,202547.2,125901754,15614749,73.6
121,621,8648248,328.4,10333,1300,43.7,,85.69,26338,0.543,6.6,27.96,17.6,11.2,38.26,01°03'S,19.4,77,47.5228,1,0,0,27137.7,8621910,16005,0
122,1456,193413,193.2,472,1200,32.1,35,37.85,964,0.625,6.2,41.71,75.1,54.1,23.33,01°42'N,18.1,135,50.3932,0,0,0,46737.6,192449,492,0
123,19160,27019731,13.8,700117,11800,,59,0.02,2149690,0.854,5.2,11.32,84.5,0.5,53.23,32°14'N,29.8,0,55.1109,5,1,0,0,24870041,1449573,0
124,844,11987121,61.1,24910,1600,40.3,24,36.62,196722,0.512,4.1,45.74,48.6,41.9,79.29,16°41'N,18.3,95,50.3932,1,0,0,34013.2,11790399,171812,0
125,4416,9396411,106.3,52960,2200,38.8,18,21.14,88361,0.806,8.4,5.55,56.7,31.1,52.05,46°11'N,40,438,36.1751,1,0,0,171340.8,9308050,35401,0
126,765,6005250,83.7,3865,500,34,14,79.62,71740,0.452,13.4,63.61,43.4,35.1,50.83,09°59'N,18.3,84,38.4241,1,0,0,26010,5933510,67875,0
